类型,WindCode,成交日期时间,成交价格,成交数量,成交金额,买卖方向
transaction,600000.SH,2016-05-04 09:36:40.240000,18.19,100,1819.0,83
transaction,600000.SH,2016-05-04 09:36:40.360000,18.19,900,16371.0,83
transaction,600000.SH,2016-05-04 09:36:40.360000,18.19,300,5457.0,83
transaction,600000.SH,2016-05-04 09:36:40.930000,18.19,300,5457.0,83
transaction,000001.SZ,2016-05-04 09:36:41.360000,10.71,100,1071.0,66
transaction,000001.SZ,2016-05-04 09:36:41.360000,10.71,3800,40698.0,66
transaction,000001.SZ,2016-05-04 09:36:41.360000,10.71,400,4284.0,66
transaction,000001.SZ,2016-05-04 09:36:41.400000,10.71,400,4284.0,66
transaction,000001.SZ,2016-05-04 09:36:41.620000,10.71,2300,24633.0,66
transaction,000001.SZ,2016-05-04 09:36:41.790000,10.7,100,1070.0,83
transaction,000001.SZ,2016-05-04 09:36:42.210000,0.0,400,0.0,32
transaction,000001.SZ,2016-05-04 09:36:42.690000,10.7,2000,21400.0,83
transaction,000001.SZ,2016-05-04 09:36:43.120000,10.71,30000,321300.0,66
transaction,000001.SZ,2016-05-04 09:36:43.610000,10.7,2000,21400.0,83
transaction,000001.SZ,2016-05-04 09:36:43.690000,0.0,1100,0.0,32
transaction,600000.SH,2016-05-04 09:36:41.790000,18.2,400,7280.0,66
transaction,600000.SH,2016-05-04 09:36:41.960000,18.19,100,1819.0,83
transaction,600000.SH,2016-05-04 09:36:42.470000,18.2,4900,89180.0,66
transaction,600000.SH,2016-05-04 09:36:42.760000,18.19,100,1819.0,83
transaction,600000.SH,2016-05-04 09:36:43.290000,18.19,500,9095.0,83
transaction,600000.SH,2016-05-04 09:36:43.690000,18.2,600,10920.0,66
transaction,600000.SH,2016-05-04 09:36:43.690000,18.2,4300,78260.0,66
transaction,000001.SZ,2016-05-04 09:36:44.710000,0.0,400,0.0,32
transaction,000001.SZ,2016-05-04 09:36:45.770000,10.71,2900,31059.0,66
transaction,000001.SZ,2016-05-04 09:36:46.690000,10.71,299,3202.0,66
transaction,000001.SZ,2016-05-04 09:36:46.690000,10.71,400,4284.0,66
transaction,000001.SZ,2016-05-04 09:36:46.690000,10.71,500,5355.0,66
transaction,000001.SZ,2016-05-04 09:36:46.690000,10.71,601,6436.0,66
transaction,600000.SH,2016-05-04 09:36:44.330000,18.19,700,12733.0,83
transaction,600000.SH,2016-05-04 09:36:44.940000,18.19,5000,90950.0,83
transaction,600000.SH,2016-05-04 09:36:45.540000,18.2,4900,89180.0,66
transaction,600000.SH,2016-05-04 09:36:46.050000,18.19,100,1819.0,83
transaction,600000.SH,2016-05-04 09:36:46.100000,18.19,100,1819.0,83
transaction,000001.SZ,2016-05-04 09:36:47.890000,10.7,100,1070.0,83
